Nom,Genre,Ville,Age,Revenu,Tolérance au Risque,Historique d'Investissement,Objectif Financier,Secteur Préféré,Fréquence d'Investissement,Domaine Recommandé
Thomas Arnaud,Homme,Paris,50,82702.83,Moyen,"ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Susanne Legrand de Ledoux,Homme,Bordeaux,56,66110.86,Moyen,"Cryptomonnaies, Actions, ETF",Retraite,Immobilier,Trimestriel,Immobilier
Ã‰mile Bertin,Homme,Paris,56,82636.38,Moyen,"Cryptomonnaies, Matières premières, Obligations",Épargne de sécurité,Santé,Trimestriel,ETF
Vincent Morel-Julien,Femme,Paris,48,59575.05,Moyen,"Obligations, Fundraising",éducation des enfants,Immobilier,Trimestriel,Immobilier
EugÃ¨ne Maillot,Femme,Lyon,32,53004.85,Élevé,"Startups, ETF, Obligations",Voyages,Santé,Trimestriel,Actions
Dominique-Diane Lucas,Femme,Bordeaux,55,76364.83,Moyen,"Cryptomonnaies, Actions",Retraite,Immobilier,Trimestriel,Immobilier
AimÃ© Perrin de la Martin,Homme,Nantes,48,59133.65,Moyen,"Obligations, Actions, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Robert Navarro,Homme,Nice,44,71524.59,Moyen,"Immobilier, Actions, Startups",Retraite,Consommation,Trimestriel,Obligations
Philippe Pons Le Bonnet,Homme,Toulouse,26,24307.76,Moyen,"Actions, Obligations",épargne de départ,Industrie,Trimestriel,Obligations
EugÃ¨ne Ribeiro,Homme,Nice,48,48303.2,Moyen,"Actions, Matières premières",éducation des enfants,Immobilier,Trimestriel,Immobilier
Monique Hoareau,Femme,Strasbourg,44,55254.39,Moyen,"Actions, ETF",éducation des enfants,Santé,Trimestriel,Actions
Gilles Benard,Homme,Montpellier,25,29587.9,Moyen,"MatiÃ¨res premiÃ¨res, Fundraising",épargne de départ,Immobilier,Trimestriel,Immobilier
ThÃ©rÃ¨se Raymond-Rossi,Femme,Toulouse,47,82060.52,Élevé,"Actions, ETF",Retraite,Finance,Mensuel,ETF
Thibaut Bourgeois,Homme,Nantes,25,20558.92,Moyen,"Immobilier, Actions, Obligations",épargne de départ,Agriculture,Trimestriel,Obligations
VÃ©ronique Fleury,Femme,Toulouse,70,87529.79,Moyen,"Cryptomonnaies, Actions",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Raymond Raymond,Homme,Lille,43,66721.06,Moyen,"Actions, ETF",éducation des enfants,Immobilier,Trimestriel,Immobilier
Yves Samson,Homme,Marseille,42,45942.95,Moyen,"Cryptomonnaies, Actions",Achat immobilier,Santé,Trimestriel,ETF
Luce Le Marchal,Homme,Paris,40,66001.89,Élevé,"Cryptomonnaies, Actions, Obligations",éducation des enfants,Technologie,Trimestriel,ETF
Alphonse Dupont du Pons,Femme,Paris,42,35219.56,Moyen,Actions,éducation des enfants,Immobilier,Trimestriel,Immobilier
Susan Bouvier,Femme,Paris,35,65625.4,Élevé,"Cryptomonnaies, ETF, Obligations",Retraite,Technologie,Trimestriel,ETF
Christelle Loiseau,Homme,Marseille,32,32715.51,Moyen,"MatiÃ¨res premiÃ¨res, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
Valentine Germain,Femme,Paris,41,65879,Moyen,"Actions, ETF",éducation des enfants,Finance,Trimestriel,ETF
Matthieu Imbert,Femme,Paris,36,37489.05,Moyen,"Immobilier, Actions, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Matthieu Meyer,Homme,Paris,32,50845.42,Élevé,"Fundraising, Matières premières, ETF, Obligations",Investir dans l'éducation,Finance,Trimestriel,Actions
Alice Mathieu-Gauthier,Femme,Bordeaux,39,48888.64,Moyen,"ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Laetitia Marie,Femme,Marseille,58,68862.59,Moyen,"Cryptomonnaies, Actions, Immobilier",Retraite,Santé,Trimestriel,ETF
Guillaume Payet,Homme,Nice,41,102368.85,Élevé,"Actions, Immobilier",Retraite,Santé,Mensuel,Actions
ThÃ©ophile Masson,Homme,Toulouse,25,26160.94,Moyen,"Actions, Matières premières, Obligations",Voyages,Agriculture,Trimestriel,Obligations
Bernadette Fabre,Homme,Paris,53,123803.24,Élevé,"Cryptomonnaies, Actions",Épargne de sécurité,Technologie,Mensuel,Actions
Arnaude Le Goff,Homme,Lyon,46,62759.13,Moyen,"Actions, Immobilier",Retraite,Santé,Trimestriel,ETF
Constance Le Thomas,Femme,Marseille,50,59763.19,Moyen,"Actions, Obligations",Retraite,Finance,Trimestriel,ETF
StÃ©phane du Pottier,Femme,Lyon,37,46274.5,Moyen,"Immobilier, Obligations",Retraite,Consommation,Trimestriel,Obligations
Laurence Monnier de la Boulanger,Homme,Lyon,25,29087.99,Moyen,"Actions, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Alexandre Seguin,Homme,Lyon,70,87329.09,Moyen,"Actions, Immobilier",Retraite,Agriculture,Trimestriel,Obligations
Ã‰lodie-Marthe Auger,Homme,Nice,34,64295.86,Élevé,"Startups, Actions, ETF, Immobilier",épargne de départ,Santé,Trimestriel,Actions
Thierry-Joseph Leclerc,Homme,Paris,49,98405.42,Élevé,"Investissement Socialement Responsable, Actions, Matières premières, Startups",Retraite,Finance,Mensuel,Actions
Astrid Vidal,Femme,Nantes,27,23780.08,Moyen,"Actions, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Caroline Fernandes-MendÃ¨s,Femme,Toulouse,62,69064.61,Moyen,"Obligations, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
FranÃ§oise Lemoine,Homme,Nice,37,59379.56,Élevé,"Startups, Actions, Obligations",Retraite,Technologie,Trimestriel,Actions
